Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id
1.0,1.0,0.0,2.0,0.0,2,2,2,0,3,2,2,2,0,-0.5052159429226737,184
0.0,2.0,1.0,1.0,0.0,8,2,2,1,3,2,2,3,0,0.2786342473088685,185
1.0,0.0,3.0,1.0,1.0,6,1,1,0,0,2,0,1,0,-0.5052159429226737,186
1.0,1.0,0.0,2.0,1.0,2,2,2,0,0,2,2,3,0,0.2786342473088685,187
2.0,2.0,2.0,1.0,2.0,7,2,2,0,3,0,2,0,0,0.2786342473088685,188
3.0,2.0,2.0,2.0,3.0,8,2,2,0,0,2,1,3,0,0.2786342473088685,189
1.0,1.0,2.0,1.0,2.0,2,1,2,1,0,0,0,1,0,0.2786342473088685,190
2.0,2.0,2.0,1.0,2.0,5,2,2,0,0,2,2,3,0,0.2786342473088685,191
0.0,0.0,3.0,1.0,3.0,8,2,0,0,0,2,2,2,0,1.0624844375404108,192
2.0,2.0,3.0,2.0,1.0,8,2,2,0,0,2,2,2,0,-1.289066133154216,193
3.0,0.0,2.0,1.0,1.0,7,1,2,0,0,0,1,1,0,0.2786342473088685,194
1.0,1.0,2.0,1.0,1.0,2,2,2,0,0,2,2,2,0,0.2786342473088685,195
2.0,2.0,2.0,1.0,2.0,2,1,1,1,0,1,1,1,0,-1.289066133154216,196
2.0,0.0,2.0,1.0,1.0,8,2,2,0,3,0,1,2,0,-1.289066133154216,197
2.0,1.0,2.0,1.0,1.0,7,2,2,2,3,0,1,1,2,-1.289066133154216,198
3.0,4.0,2.0,2.0,0.0,5,2,2,0,3,2,2,0,0,1.0624844375404108,199
2.0,1.0,2.0,1.0,4.0,7,1,2,2,3,0,2,3,0,0.2786342473088685,200
2.0,2.0,2.0,1.0,2.0,2,1,2,0,3,2,2,2,0,1.0624844375404108,201
2.0,2.0,3.0,1.0,2.0,2,1,0,2,3,2,0,2,0,-0.5052159429226737,202
2.0,2.0,0.0,2.0,2.0,7,2,2,0,0,2,2,0,0,-1.289066133154216,203
2.0,1.0,2.0,1.0,2.0,6,2,2,0,3,0,2,3,0,-0.5052159429226737,204
2.0,2.0,2.0,2.0,2.0,6,2,2,2,3,0,1,0,0,-0.5052159429226737,205
2.0,2.0,2.0,1.0,2.0,5,2,0,0,0,0,1,1,0,1.0624844375404108,206
2.0,2.0,0.0,1.0,3.0,5,2,2,0,0,2,1,3,0,0.2786342473088685,207
1.0,0.0,0.0,1.0,2.0,5,2,2,0,0,2,2,2,0,0.2786342473088685,208
1.0,1.0,0.0,1.0,1.0,2,2,2,0,0,0,1,1,2,-1.289066133154216,209
2.0,1.0,3.0,1.0,1.0,2,2,2,0,3,0,2,0,2,-0.5052159429226737,210
2.0,1.0,3.0,1.0,2.0,2,2,2,0,0,0,2,2,0,-0.5052159429226737,211
1.0,1.0,2.0,2.0,2.0,2,0,2,1,3,2,2,0,2,-0.5052159429226737,212
2.0,0.0,3.0,1.0,1.0,2,1,2,0,1,2,2,3,2,-0.5052159429226737,213
1.0,1.0,2.0,1.0,0.0,5,2,0,2,3,2,2,3,0,-0.5052159429226737,214
2.0,2.0,3.0,1.0,2.0,2,2,2,0,3,0,2,3,0,-1.289066133154216,215
3.0,4.0,2.0,1.0,4.0,8,2,2,0,0,0,2,0,0,-1.289066133154216,216
2.0,2.0,2.0,2.0,2.0,3,2,2,2,3,2,1,1,0,1.0624844375404108,217
0.0,0.0,1.0,2.0,1.0,5,2,2,0,0,2,2,2,0,-1.289066133154216,218
1.0,1.0,2.0,0.0,2.0,5,2,2,2,3,0,2,3,0,-0.5052159429226737,219
2.0,2.0,2.0,1.0,2.0,5,2,0,0,3,0,2,2,0,0.2786342473088685,220
2.0,2.0,2.0,1.0,2.0,8,2,0,0,3,0,0,2,0,-1.289066133154216,221
0.0,0.0,3.0,2.0,1.0,3,2,2,1,0,2,2,2,0,-0.5052159429226737,222
3.0,1.0,0.0,1.0,2.0,5,2,2,2,3,0,2,2,0,0.2786342473088685,223
0.0,1.0,0.0,2.0,3.0,2,2,2,0,1,2,1,3,0,-0.5052159429226737,224
2.0,2.0,2.0,1.0,1.0,4,2,2,0,0,2,2,1,0,-0.5052159429226737,225
2.0,1.0,0.0,1.0,2.0,5,2,2,0,1,2,2,3,2,-1.289066133154216,226
3.0,1.0,2.0,1.0,2.0,5,2,2,0,3,0,0,3,0,0.2786342473088685,227
2.0,2.0,2.0,1.0,2.0,2,1,0,0,3,0,0,0,2,-1.289066133154216,228
2.0,2.0,0.0,1.0,2.0,5,2,2,0,0,2,2,2,0,-0.5052159429226737,229
2.0,1.0,2.0,2.0,3.0,4,2,2,1,0,2,1,0,0,-0.5052159429226737,230
2.0,1.0,2.0,1.0,2.0,2,2,2,0,0,2,2,1,0,0.2786342473088685,231
0.0,1.0,2.0,2.0,1.0,5,2,2,0,0,0,2,1,0,-0.5052159429226737,232
2.0,2.0,3.0,1.0,2.0,7,0,2,0,3,0,2,2,2,-0.5052159429226737,233
1.0,2.0,2.0,1.0,1.0,5,2,2,0,3,2,2,0,0,-1.289066133154216,234
2.0,1.0,2.0,2.0,2.0,0,2,2,0,3,2,2,0,0,-0.5052159429226737,235
2.0,1.0,1.0,2.0,1.0,0,2,2,0,0,2,2,2,0,-1.289066133154216,236
0.0,1.0,2.0,1.0,2.0,7,0,0,2,3,0,1,2,1,-0.5052159429226737,237
0.0,1.0,0.0,1.0,2.0,2,2,2,0,3,2,2,1,0,-0.5052159429226737,238
1.0,1.0,2.0,0.0,1.0,3,2,2,0,0,2,2,1,0,1.0624844375404108,239
2.0,2.0,2.0,1.0,2.0,5,2,2,0,3,2,2,0,0,-0.5052159429226737,240
3.0,1.0,2.0,0.0,2.0,5,2,2,0,0,2,2,3,0,-1.289066133154216,241
2.0,2.0,3.0,2.0,1.0,2,2,2,0,0,2,2,2,2,-1.289066133154216,242
2.0,2.0,2.0,1.0,1.0,8,2,2,1,0,2,2,1,0,-0.5052159429226737,243
1.0,0.0,0.0,2.0,0.0,5,2,2,1,0,2,2,2,0,-0.5052159429226737,244
2.0,2.0,2.0,2.0,2.0,2,2,2,0,3,2,2,0,2,-1.289066133154216,245
0.0,1.0,0.0,2.0,2.0,5,2,2,1,0,2,2,2,0,-0.5052159429226737,246
1.0,1.0,2.0,2.0,1.0,5,2,2,0,3,2,1,3,0,-0.5052159429226737,247
0.0,0.0,1.0,1.0,2.0,1,2,0,0,0,0,2,3,0,-0.5052159429226737,248
2.0,2.0,2.0,1.0,1.0,5,2,0,0,3,0,1,3,0,-0.5052159429226737,249
1.0,1.0,1.0,1.0,2.0,5,1,2,0,0,2,2,0,0,0.2786342473088685,250
2.0,0.0,2.0,2.0,3.0,3,2,0,0,3,0,0,1,0,-1.289066133154216,251
2.0,2.0,0.0,2.0,2.0,5,2,2,0,3,2,2,2,0,-0.5052159429226737,252
3.0,1.0,2.0,2.0,3.0,5,2,0,0,3,2,0,2,2,-0.5052159429226737,253
0.0,1.0,0.0,2.0,1.0,1,2,2,0,3,2,2,0,0,0.2786342473088685,254
