Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
at any time,at any time,Morning,Significant,Rarely,Computer Science,No,Very quiet,Ask before sharing,Cluttered,Study oriented,Total quiet,Calm,Face-to-face,21,115,0.0
After midnight,Somewhat early,Evening,Some,Sometimes,Computer Science,No,Background noise,Share freely,Neat,Social & quiet,Background noise,Calm,Face-to-face,21,116,0.0
at any time,at any time,Morning,Some,Never,Computer Science,No,Very quiet,Prefer personal items,Neat,Social & quiet,Total quiet,Avoid conflict,Face-to-face,20,117,0.0
at any time,Somewhat early,Evening,Some,Sometimes,Science,Maybe,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Hint jokingly,Face-to-face,20,118,1.0
Before midnight,Very early,Morning,Some,Rarely,Computer Science,No,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Calm,Face-to-face,23,119,
Before midnight,Very early,Morning,Significant,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Calm,Face-to-face,23,120,
at any time,at any time,Morning,Significant,Rarely,Computer Science,No,Very quiet,Prefer personal items,Clean and organized,Study oriented,Total quiet,Hint jokingly,Face-to-face,21,121,0.0
Before midnight,Somewhat early,Morning,Some,Rarely,Science,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,21,122,1.0
at any time,at any time,Late night,Some,Rarely,Computer Science,Yes,Background noise,Ask before sharing,Neat,Study oriented,Background noise,Avoid conflict,Face-to-face,20,123,0.0
Before midnight,Somewhat early,Morning,Some,Rarely,Engineering,Maybe,Very quiet,Ask before sharing,Cluttered,Social & quiet,Total quiet,Avoid conflict,Text or messaging apps,23,124,
Before midnight,Somewhat early,Evening,Some,Sometimes,Pharmacy,Yes,Background noise,Share freely,Clean and organized,Social & quiet,No preference,Hint jokingly,Face-to-face,18,125,1.0
at any time,at any time,Late night,Some,Sometimes,Pharmacy,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,No preference,Calm,Face-to-face,19,126,1.0
