Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id,cluster_label
2.0,2.0,2.0,1.0,2.0,5,2,2,0,0,2,2,3,0,0.2786342473088685,191,1
0.0,0.0,3.0,1.0,3.0,8,2,0,0,0,2,2,2,0,1.0624844375404108,192,1
2.0,2.0,3.0,2.0,1.0,8,2,2,0,0,2,2,2,0,-1.289066133154216,193,1
3.0,0.0,2.0,1.0,1.0,7,1,2,0,0,0,1,1,0,0.2786342473088685,194,1
1.0,1.0,2.0,1.0,1.0,2,2,2,0,0,2,2,2,0,0.2786342473088685,195,0
2.0,2.0,2.0,1.0,2.0,2,1,1,1,0,1,1,1,0,-1.289066133154216,196,0
2.0,0.0,2.0,1.0,1.0,8,2,2,0,3,0,1,2,0,-1.289066133154216,197,1
2.0,1.0,2.0,1.0,1.0,7,2,2,2,3,0,1,1,2,-1.289066133154216,198,1
3.0,4.0,2.0,2.0,0.0,5,2,2,0,3,2,2,0,0,1.0624844375404108,199,1
2.0,1.0,2.0,1.0,4.0,7,1,2,2,3,0,2,3,0,0.2786342473088685,200,1
2.0,2.0,2.0,1.0,2.0,2,1,2,0,3,2,2,2,0,1.0624844375404108,201,0
2.0,2.0,3.0,1.0,2.0,2,1,0,2,3,2,0,2,0,-0.5052159429226737,202,0
2.0,2.0,0.0,2.0,2.0,7,2,2,0,0,2,2,0,0,-1.289066133154216,203,1
2.0,1.0,2.0,1.0,2.0,6,2,2,0,3,0,2,3,0,-0.5052159429226737,204,1
2.0,2.0,2.0,2.0,2.0,6,2,2,2,3,0,1,0,0,-0.5052159429226737,205,1
2.0,2.0,2.0,1.0,2.0,5,2,0,0,0,0,1,1,0,1.0624844375404108,206,1
2.0,2.0,0.0,1.0,3.0,5,2,2,0,0,2,1,3,0,0.2786342473088685,207,1
1.0,0.0,0.0,1.0,2.0,5,2,2,0,0,2,2,2,0,0.2786342473088685,208,1
1.0,1.0,0.0,1.0,1.0,2,2,2,0,0,0,1,1,2,-1.289066133154216,209,0
2.0,1.0,3.0,1.0,1.0,2,2,2,0,3,0,2,0,2,-0.5052159429226737,210,0
2.0,1.0,3.0,1.0,2.0,2,2,2,0,0,0,2,2,0,-0.5052159429226737,211,0
1.0,1.0,2.0,2.0,2.0,2,0,2,1,3,2,2,0,2,-0.5052159429226737,212,0
2.0,0.0,3.0,1.0,1.0,2,1,2,0,1,2,2,3,2,-0.5052159429226737,213,0
1.0,1.0,2.0,1.0,0.0,5,2,0,2,3,2,2,3,0,-0.5052159429226737,214,1
2.0,2.0,3.0,1.0,2.0,2,2,2,0,3,0,2,3,0,-1.289066133154216,215,0
3.0,4.0,2.0,1.0,4.0,8,2,2,0,0,0,2,0,0,-1.289066133154216,216,1
2.0,2.0,2.0,2.0,2.0,3,2,2,2,3,2,1,1,0,1.0624844375404108,217,0
0.0,0.0,1.0,2.0,1.0,5,2,2,0,0,2,2,2,0,-1.289066133154216,218,1
1.0,1.0,2.0,0.0,2.0,5,2,2,2,3,0,2,3,0,-0.5052159429226737,219,1
2.0,2.0,2.0,1.0,2.0,5,2,0,0,3,0,2,2,0,0.2786342473088685,220,1
2.0,2.0,2.0,1.0,2.0,8,2,0,0,3,0,0,2,0,-1.289066133154216,221,1
0.0,0.0,3.0,2.0,1.0,3,2,2,1,0,2,2,2,0,-0.5052159429226737,222,0
